State,Year,Wave_1_Open,Wave_2_Open,Wave_3_Open,Wave_4_Open,Wave_5_Open,Wave_6_Open,Annual_Open
Florida,2013,0,0,30,14,21,0,65
Florida,2014,0,0,38,14,0,0,52
Florida,2015,0,0,39,12,22,1,74
Florida,2016,0,0,40,10,28,7,85
Florida,2017,0,0,33,28,4,0,65
Florida,2018,0,0,20,20,0,0,40
Florida,2019,0,0,20,12,6,2,40
Florida,2020,0,0,20,25,5,6,56
Alabama,2013,0,0,30,12,0,0,42
Alabama,2014,0,0,9,12,0,0,21
Alabama,2015,0,0,10,31,0,0,41
Alabama,2016,0,0,35,31,0,0,66
Alabama,2017,0,0,28,27,4,0,59
Alabama,2018,0,0,14,14,0,0,28
Alabama,2019,0,0,14,18,2,0,34
Alabama,2020,0,0,24,1,8,11,44
Mississippi,2013,0,0,30,12,0,0,42
Mississippi,2014,0,0,9,0,13,2,24
Mississippi,2015,0,0,10,47,61,0,118
Mississippi,2016,0,0,35,62,5,0,102
Mississippi,2017,0,0,28,28,4,0,60
Mississippi,2018,0,0,37,33,5,0,75
Mississippi,2019,0,0,37,36,5,0,78
Mississippi,2020,0,0,40,5,1,0,46
Louisiana,2013,0,17,41,0,14,0,72
Louisiana,2014,3,38,61,62,61,61,286
Louisiana,2015,0,42,61,62,8,41,214
Louisiana,2016,53,61,61,62,5,0,242
Louisiana,2017,28,61,46,0,11,19,165
Louisiana,2018,0,0,37,23,0,0,60
Louisiana,2019,0,0,17,28,18,46,109
Louisiana,2020,0,0,19,18,4,0,41
Texas,2013,59,61,61,62,61,61,365
Texas,2014,59,61,61,62,61,61,365
Texas,2015,59,61,61,62,61,61,365
Texas,2016,60,61,61,62,61,61,366
Texas,2017,59,61,61,62,61,61,365
Texas,2018,59,61,61,62,61,61,365
Texas,2019,59,61,61,62,61,61,365
Texas,2020,60,61,61,62,61,61,366
